discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
44,28.99,Kangaroo Pocket Halloween Dripping Blood Print Hoodie,41.746,8339433,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Others;Season:Fall,Spring;Weight:0.5600kg;PackageContents:1xHoodie",https://www.dresslily.com/kangaroo-pocket-halloween-dripping-blood-product8339433.html,1
44,28.99,Bicolor Climber Silhouette Graphic Front Pocket Casual Hoodie,41.746,8339456,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Print;Season:Fall,Spring;Weight:0.5500kg;PackageContents:1xHoodie",https://www.dresslily.com/bicolor-climber-silhouette-graphic-front-product8339456.html,
43,28.99,Colorful Great Wave Pattern Front Pocket Casual Hoodie,41.456,8339445,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Print;Season:Fall,Spring;Weight:0.5500kg;PackageContents:1xHoodie",https://www.dresslily.com/colorful-great-wave-pattern-front-product8339445.html,
41,28.99,Tribal Characters Pattern Front Pocket Drawstring Hoodie,40.876,8339439,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Print;Season:Fall,Spring;Weight:0.5650kg;PackageContents:1xHoodie",https://www.dresslily.com/tribal-characters-pattern-front-pocket-product8339439.html,1
34,28.99,Yin and Yang Feather Pattern Front Pocket Casual Hoodie,38.847,8339784,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Feather;Season:Fall,Spring;Weight:0.5500kg;PackageContents:1xHoodie",https://www.dresslily.com/yin-and-yang-feather-pattern-product8339784.html,
44,28.99,Digital Leopard Pattern Front Pocket Casual Hoodie,41.746,8339462,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.5400kg;PackageContents:1xHoodie",https://www.dresslily.com/digital-leopard-pattern-front-pocket-product8339462.html,
48,28.99,Distorted Skull Pattern Front Pocket Drawstring Hoodie,42.905,8339791,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Skull;Season:Fall,Spring;Weight:0.5700kg;PackageContents:1xHoodie",https://www.dresslily.com/distorted-skull-pattern-front-pocket-product8339791.html,2
33,28.99,Halloween Blood Splash Print Hoodie,38.557,8339813,";ClothesType:Hoodie;Occasion:Daily,Halloween;Style:Casual;FitType:Regular;SleeveLength:Full;Material:Polyester,Polyurethane;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Print;Season:Fall,Spring,Winter;Weight:0.5100kg;PackageContents:1xHoodie",https://www.dresslily.com/halloween-blood-splash-print-hoodie-product8339813.html,
43,28.99,Fire Skeleton Faux Zipper Print Hoodie,41.456,8339824,";ClothesType:Hoodie;Occasion:Daily,Halloween;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Polyurethane;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Print,Skeleton;Season:Fall,Spring,Winter;Weight:0.5200kg;PackageContents:1xHoodie",https://www.dresslily.com/fire-skeleton-fuax-zipper-print-product8339824.html,
44,28.99,Sheep Oil Paint Pattern Front Pocket Casual Hoodie,41.746,8340417,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Animal,Painting;Season:Fall,Spring;Weight:0.5600kg;PackageContents:1xHoodie",https://www.dresslily.com/sheep-oil-paint-pattern-front-product8340417.html,
48,28.99,Seamless Tribal Pattern Front Pocket Drawstring Hoodie,42.905,8340395,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;FabricStretch:SlightStretch;Thickness:Regular;Patterns:TribalPrint;Season:Fall,Spring;Weight:0.5600kg;PackageContents:1xHoodie",https://www.dresslily.com/seamless-tribal-pattern-front-pocket-product8340395.html,
40,28.99,Indian Dreamcatcher Pattern Front Pocket Pullover Hoodie,40.586,8340901,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Feather,Print;Season:Fall,Spring;Weight:0.5550kg;PackageContents:1xHoodie",https://www.dresslily.com/indian-dreamcatcher-pattern-front-pocket-product8340901.html,
46,24.99,Casual Tiger Landscape Pattern Front Pocket Hoodie,36.485,8341352,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal,Landscape;Season:Fall,Spring;Weight:0.5250kg;PackageContents:1xHoodie",https://www.dresslily.com/casual-tiger-landscape-pattern-front-product8341352.html,1
45,24.99,Lace-up Buckle Strap Pocket Hoodie,36.236,8345297,";ClothesType:Hoodie;Occasion:Daily;Style:Gothic;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Others;Season:Fall,Spring;Weight:0.4600kg;PackageContents:1xHoodie",https://www.dresslily.com/lace-up-buckle-strap-pocket-product8345297.html,1
50,24.99,Casual Winged Tiger Pattern Front Pocket Hoodie,37.485,8341358,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.5300kg;PackageContents:1xHoodie",https://www.dresslily.com/casual-winged-tiger-pattern-front-product8341358.html,
